STATE,NAME,YEAR,AGE,SEX,LaunchYear,Mean,Lower80,Upper80
72,Puerto Rico,2000,7,1,2015,124544,124544,124544
72,Puerto Rico,2001,7,1,2015,123900,123900,123900
72,Puerto Rico,2002,7,1,2015,123245,123245,123245
72,Puerto Rico,2003,7,1,2015,122186,122186,122186
72,Puerto Rico,2004,7,1,2015,120606,120606,120606
72,Puerto Rico,2005,7,1,2015,118482,118482,118482
72,Puerto Rico,2006,7,1,2015,117625,117625,117625
72,Puerto Rico,2007,7,1,2015,117901,117901,117901
72,Puerto Rico,2008,7,1,2015,118875,118875,118875
72,Puerto Rico,2000,7,2,2015,133828,133828,133828
72,Puerto Rico,2001,7,2,2015,132423,132423,132423
72,Puerto Rico,2002,7,2,2015,131153,131153,131153
72,Puerto Rico,2003,7,2,2015,130158,130158,130158
72,Puerto Rico,2004,7,2,2015,128745,128745,128745
72,Puerto Rico,2005,7,2,2015,126837,126837,126837
72,Puerto Rico,2006,7,2,2015,126329,126329,126329
72,Puerto Rico,2007,7,2,2015,126989,126989,126989
72,Puerto Rico,2008,7,2,2015,127751,127751,127751
72,Puerto Rico,2000,8,1,2015,124760,124760,124760
72,Puerto Rico,2001,8,1,2015,124086,124086,124086
72,Puerto Rico,2002,8,1,2015,122485,122485,122485
72,Puerto Rico,2003,8,1,2015,120893,120893,120893
72,Puerto Rico,2004,8,1,2015,119731,119731,119731
72,Puerto Rico,2005,8,1,2015,118851,118851,118851
72,Puerto Rico,2006,8,1,2015,118386,118386,118386
72,Puerto Rico,2007,8,1,2015,117889,117889,117889
72,Puerto Rico,2008,8,1,2015,116878,116878,116878
72,Puerto Rico,2000,8,2,2015,140452,140452,140452
72,Puerto Rico,2001,8,2,2015,139265,139265,139265
72,Puerto Rico,2002,8,2,2015,136692,136692,136692
72,Puerto Rico,2003,8,2,2015,133902,133902,133902
72,Puerto Rico,2004,8,2,2015,131661,131661,131661
72,Puerto Rico,2005,8,2,2015,129689,129689,129689
72,Puerto Rico,2006,8,2,2015,128330,128330,128330
72,Puerto Rico,2007,8,2,2015,127024,127024,127024
72,Puerto Rico,2008,8,2,2015,126064,126064,126064
72,Puerto Rico,2000,9,1,2015,117338,117338,117338
72,Puerto Rico,2001,9,1,2015,117507,117507,117507
72,Puerto Rico,2002,9,1,2015,118339,118339,118339
72,Puerto Rico,2003,9,1,2015,119781,119781,119781
72,Puerto Rico,2004,9,1,2015,120363,120363,120363
72,Puerto Rico,2005,9,1,2015,120495,120495,120495
72,Puerto Rico,2006,9,1,2015,119571,119571,119571
72,Puerto Rico,2007,9,1,2015,117762,117762,117762
72,Puerto Rico,2008,9,1,2015,115863,115863,115863
72,Puerto Rico,2000,9,2,2015,135437,135437,135437
72,Puerto Rico,2001,9,2,2015,135501,135501,135501
72,Puerto Rico,2002,9,2,2015,136447,136447,136447
72,Puerto Rico,2003,9,2,2015,137364,137364,137364
72,Puerto Rico,2004,9,2,2015,137350,137350,137350
72,Puerto Rico,2005,9,2,2015,137036,137036,137036
72,Puerto Rico,2006,9,2,2015,135417,135417,135417
72,Puerto Rico,2007,9,2,2015,132379,132379,132379
72,Puerto Rico,2008,9,2,2015,129131,129131,129131
72,Puerto Rico,2000,10,1,2015,108550,108550,108550
72,Puerto Rico,2001,10,1,2015,110081,110081,110081
72,Puerto Rico,2002,10,1,2015,111316,111316,111316
72,Puerto Rico,2003,10,1,2015,112136,112136,112136
72,Puerto Rico,2004,10,1,2015,112946,112946,112946
72,Puerto Rico,2005,10,1,2015,113576,113576,113576
72,Puerto Rico,2006,10,1,2015,113488,113488,113488
72,Puerto Rico,2007,10,1,2015,114012,114012,114012
72,Puerto Rico,2008,10,1,2015,115135,115135,115135
72,Puerto Rico,2000,10,2,2015,127229,127229,127229
72,Puerto Rico,2001,10,2,2015,128922,128922,128922
72,Puerto Rico,2002,10,2,2015,130046,130046,130046
72,Puerto Rico,2003,10,2,2015,130966,130966,130966
72,Puerto Rico,2004,10,2,2015,131812,131812,131812
72,Puerto Rico,2005,10,2,2015,132160,132160,132160
72,Puerto Rico,2006,10,2,2015,131810,131810,131810
72,Puerto Rico,2007,10,2,2015,132264,132264,132264
72,Puerto Rico,2008,10,2,2015,132739,132739,132739
72,Puerto Rico,2000,11,1,2015,106234,106234,106234
72,Puerto Rico,2001,11,1,2015,105400,105400,105400
72,Puerto Rico,2002,11,1,2015,104889,104889,104889
72,Puerto Rico,2003,11,1,2015,105088,105088,105088
72,Puerto Rico,2004,11,1,2015,105484,105484,105484
72,Puerto Rico,2005,11,1,2015,106311,106311,106311
72,Puerto Rico,2006,11,1,2015,107826,107826,107826
72,Puerto Rico,2007,11,1,2015,109082,109082,109082
72,Puerto Rico,2008,11,1,2015,109888,109888,109888
72,Puerto Rico,2000,11,2,2015,123915,123915,123915
72,Puerto Rico,2001,11,2,2015,123273,123273,123273
72,Puerto Rico,2002,11,2,2015,122955,122955,122955
72,Puerto Rico,2003,11,2,2015,123251,123251,123251
72,Puerto Rico,2004,11,2,2015,123663,123663,123663
72,Puerto Rico,2005,11,2,2015,125112,125112,125112
72,Puerto Rico,2006,11,2,2015,126725,126725,126725
72,Puerto Rico,2007,11,2,2015,127731,127731,127731
72,Puerto Rico,2008,11,2,2015,128567,128567,128567
72,Puerto Rico,2000,12,1,2015,92071,92071,92071
72,Puerto Rico,2001,12,1,2015,95852,95852,95852
72,Puerto Rico,2002,12,1,2015,98839,98839,98839
72,Puerto Rico,2003,12,1,2015,101231,101231,101231
72,Puerto Rico,2004,12,1,2015,103423,103423,103423
