Var1,YEAR,SEX,COUNTYRACE,TYPE,AGE,A,B,C,STATE,COUNTY,GEOID,RACE
a1,2020,1,72_0,Mult,1,100153.9203280661,95493.31813057441,104924.31560219958,72,000,72000,0
a1,2020,2,72_0,Mult,1,95263.59218704724,90830.55845622995,99801.05800443592,72,000,72000,0
a1,2025,1,72_0,Mult,1,87274.89635922936,74964.66305537368,100572.92563540512,72,000,72000,0
a1,2025,2,72_0,Mult,1,83013.42681043886,71304.279117123,95662.13825086383,72,000,72000,0
a1,2030,1,72_0,Mult,1,74311.55209093027,59534.96518610271,90967.78627463435,72,000,72000,0
a1,2030,2,72_0,Mult,1,70683.05833649031,56627.98446412504,86525.99983544322,72,000,72000,0
a1,2035,1,72_0,Mult,1,65819.8339908185,49488.33918930576,85065.57897278274,72,000,72000,0
a1,2035,2,72_0,Mult,1,62605.974909235556,47071.916377327936,80911.98624950233,72,000,72000,0
a1,2040,1,72_0,Mult,1,57944.627552102276,40655.49178712617,79503.2817547092,72,000,72000,0
a1,2040,2,72_0,Mult,1,55115.30003490978,38670.3603522079,75621.28557528004,72,000,72000,0
a1,2045,1,72_0,Mult,1,50127.54086894667,32702.574749477455,73213.87450684888,72,000,72000,0
a1,2045,2,72_0,Mult,1,47679.90703745513,31105.769341788124,69638.97829069414,72,000,72000,0
a2,2020,1,72_0,Mult,2,78431.75416041494,76360.55300507638,80502.95531575351,72,000,72000,0
a2,2020,2,72_0,Mult,2,74804.53986862634,72796.05280064151,76813.02693661115,72,000,72000,0
a2,2025,1,72_0,Mult,2,88929.68105617128,82552.24757718522,95625.74283614916,72,000,72000,0
a2,2025,2,72_0,Mult,2,84777.58163846598,78662.17125630788,91200.27310987817,72,000,72000,0
a2,2030,1,72_0,Mult,2,77494.0079431091,64805.596299685865,91659.98050969216,72,000,72000,0
a2,2030,2,72_0,Mult,2,73875.8365808055,61751.788280830464,87418.04254586082,72,000,72000,0
a2,2035,1,72_0,Mult,2,65983.46429763857,51466.90136813545,82906.06506934037,72,000,72000,0
a2,2035,2,72_0,Mult,2,62902.71667283427,49041.64729938439,79069.2501050134,72,000,72000,0
a2,2040,1,72_0,Mult,2,58443.41214802504,42781.77477667162,77526.92149929957,72,000,72000,0
