Var1,YEAR,SEX,COUNTYRACE,TYPE,AGE,A,B,C,STATE,COUNTY,GEOID,RACE
a1,2022,1,72_0,Mult,1,64037.40003828074,60455.3491095737,67721.33585488483,72,000,72000,0
a1,2022,2,72_0,Mult,1,60910.573864536564,57503.427766332796,64414.630002595535,72,000,72000,0
a1,2027,1,72_0,Mult,1,54770.32255764052,45502.91186235328,64949.18859071242,72,000,72000,0
a1,2027,2,72_0,Mult,1,52095.990401505725,43281.08999407431,61777.84149155654,72,000,72000,0
a1,2032,1,72_0,Mult,1,45430.98664700972,34632.51454824805,57921.428805274634,72,000,72000,0
a1,2032,2,72_0,Mult,1,43212.67675213619,32941.47379882188,55093.23403939208,72,000,72000,0
a1,2037,1,72_0,Mult,1,38052.32908939708,26863.99550871336,51678.11824787469,72,000,72000,0
a1,2037,2,72_0,Mult,1,36194.305208078855,25552.276978014466,49154.77263030269,72,000,72000,0
a1,2042,1,72_0,Mult,1,31126.146786212048,20278.4922480307,45186.84311603204,72,000,72000,0
a1,2042,2,72_0,Mult,1,29606.315400166535,19288.331493732327,42980.45429200704,72,000,72000,0
a1,2047,1,72_0,Mult,1,25142.149654493132,15030.945514562967,39196.35290529248,72,000,72000,0
a1,2047,2,72_0,Mult,1,23914.505628394832,14297.012628109696,37282.46848608874,72,000,72000,0
a2,2022,1,72_0,Mult,2,65560.55139996124,62928.38912357121,68192.71367635128,72,000,72000,0
a2,2022,2,72_0,Mult,2,62690.76850829182,60544.91045917231,64836.62655741132,72,000,72000,0
a2,2027,1,72_0,Mult,2,55393.48018537273,50195.37588062696,60932.058763338435,72,000,72000,0
a2,2027,2,72_0,Mult,2,52903.624126807954,48234.80354685022,57862.08329724864,72,000,72000,0
a2,2032,1,72_0,Mult,2,47377.29476102239,37780.54048541029,58437.827988518344,72,000,72000,0
a2,2032,2,72_0,Mult,2,45247.754533465246,36304.87701778368,55493.52080675822,72,000,72000,0
a2,2037,1,72_0,Mult,2,39298.60452061899,28754.97554881047,52114.62324343601,72,000,72000,0
a2,2037,2,72_0,Mult,2,37532.18962429257,27631.840030242056,49488.90177547661,72,000,72000,0
a2,2042,1,72_0,Mult,2,32915.93562762937,22304.8642026914,46497.2242220045,72,000,72000,0
a2,2042,2,72_0,Mult,2,31436.412379198,21433.66244561238,44154.527446284905,72,000,72000,0
a2,2047,1,72_0,Mult,2,26924.66580808003,16836.997150366115,40656.71985525693,72,000,72000,0
a2,2047,2,72_0,Mult,2,25714.441390644304,16179.363848139446,38608.28861855591,72,000,72000,0
a3,2022,1,72_0,Mult,3,80289.06056969055,77864.77828800779,82713.34285137334,72,000,72000,0
a3,2022,2,72_0,Mult,3,77837.8807246283,75215.20749164892,80460.55395760766,72,000,72000,0
a3,2027,1,72_0,Mult,3,58339.4669260177,54306.41678353876,62513.962630671296,72,000,72000,0
a3,2027,2,72_0,Mult,3,55760.5421163235,52037.412043490614,59612.29190913076,72,000,72000,0
a3,2032,1,72_0,Mult,3,49292.23498253677,43317.98479422159,55857.93905518347,72,000,72000,0
a3,2032,2,72_0,Mult,3,47055.329379777,41457.065969184376,53199.7357532437,72,000,72000,0
a3,2037,1,72_0,Mult,3,42158.98221924491,32604.136328344885,53571.41545107228,72,000,72000,0
a3,2037,2,72_0,Mult,3,40245.78709700529,31203.47904117602,51022.02469569651,72,000,72000,0
a3,2042,1,72_0,Mult,3,34970.10915424754,24815.186094907425,47774.77584209242,72,000,72000,0
a3,2042,2,72_0,Mult,3,33383.14858887715,23749.13818962779,45501.23927699608,72,000,72000,0
a3,2047,1,72_0,Mult,3,29290.45129855553,19248.82026318826,42625.16595599808,72,000,72000,0
a3,2047,2,72_0,Mult,3,27961.236369666356,18421.900632515524,40596.692317219065,72,000,72000,0
a4,2022,1,72_0,Mult,4,90441.79287795376,86729.54331504015,94154.04244086736,72,000,72000,0
a4,2022,2,72_0,Mult,4,86080.99181739667,82572.12053008417,89589.86310470916,72,000,72000,0
a4,2027,1,72_0,Mult,4,71267.90250671741,66279.09177785621,76433.3653278459,72,000,72000,0
a4,2027,2,72_0,Mult,4,69529.6312403647,64448.194700423635,74802.05894539764,72,000,72000,0
a4,2032,1,72_0,Mult,4,51784.53218503412,46226.03520181125,57767.61498356091,72,000,72000,0
a4,2032,2,72_0,Mult,4,49808.7806992938,44588.28706225949,55419.97853515193,72,000,72000,0
a4,2037,1,72_0,Mult,4,43753.83361254311,36872.59827785545,51616.9473398874,72,000,72000,0
a4,2037,2,72_0,Mult,4,42032.74381588603,35522.51131643761,49458.39388317375,72,000,72000,0
a4,2042,1,72_0,Mult,4,37422.06239884467,27752.888938449913,49504.02712727056,72,000,72000,0
a4,2042,2,72_0,Mult,4,35950.037562464335,26736.719336971593,47433.8332397246,72,000,72000,0
a4,2047,1,72_0,Mult,4,31040.9202968681,21122.875231024198,44147.49506565212,72,000,72000,0
a4,2047,2,72_0,Mult,4,29819.90246161104,20349.46300164549,42301.304366854776,72,000,72000,0
a5,2022,1,72_0,Mult,5,96833.42435598014,94591.2047019689,99075.64400999139,72,000,72000,0
a5,2022,2,72_0,Mult,5,95220.1447477183,93275.50855845769,97164.7809369789,72,000,72000,0
a5,2027,1,72_0,Mult,5,76955.69105618093,72088.18735377135,81969.4769994903,72,000,72000,0
a5,2027,2,72_0,Mult,5,75284.90930773516,70741.27701670601,79953.88677605506,72,000,72000,0
a5,2032,1,72_0,Mult,5,60640.88860920703,55090.10428389218,66542.04980279323,72,000,72000,0
a5,2032,2,72_0,Mult,5,60809.38278726065,55214.127544032264,66756.60777097172,72,000,72000,0
a5,2037,1,72_0,Mult,5,44062.75388301996,38422.329449442885,50291.8522131888,72,000,72000,0
a5,2037,2,72_0,Mult,5,43561.876536340875,38199.72584599544,49459.19700482306,72,000,72000,0
a5,2042,1,72_0,Mult,5,37229.54172916649,30647.904638665863,44937.1484014407,72,000,72000,0
a5,2042,2,72_0,Mult,5,36761.09253999935,30432.884576939487,44138.81981311958,72,000,72000,0
a5,2047,1,72_0,Mult,5,31841.923750193702,23067.75039891676,43097.663231394734,72,000,72000,0
a5,2047,2,72_0,Mult,5,31441.2654914697,22905.911305081747,42332.01392182805,72,000,72000,0
a6,2022,1,72_0,Mult,6,97305.29214202396,94836.94911522401,99773.6351688239,72,000,72000,0
a6,2022,2,72_0,Mult,6,99602.54917964428,97507.49062746471,101697.60773182385,72,000,72000,0
a6,2027,1,72_0,Mult,6,80559.53767951322,76697.91271582534,84515.80136770193,72,000,72000,0
a6,2027,2,72_0,Mult,6,82336.43391783396,78958.40518574693,85785.20138449731,72,000,72000,0
a6,2032,1,72_0,Mult,6,64022.468837853536,58451.665975943884,69923.50244631972,72,000,72000,0
a6,2032,2,72_0,Mult,6,65098.52486204075,59883.01216864036,70589.98345301513,72,000,72000,0
a6,2037,1,72_0,Mult,6,50449.542431480506,44669.01572069447,56763.24105615159,72,000,72000,0
a6,2037,2,72_0,Mult,6,52581.60172632516,46739.16574646115,58938.3209240503,72,000,72000,0
a6,2042,1,72_0,Mult,6,36657.53953565566,31154.191129471004,42901.121002403415,72,000,72000,0
a6,2042,2,72_0,Mult,6,37667.76009713238,32336.34935844117,43666.71889196351,72,000,72000,0
a6,2047,1,72_0,Mult,6,30972.72134770453,24850.411011314718,38333.32749211405,72,000,72000,0
a6,2047,2,72_0,Mult,6,31787.152547250927,25761.661003339257,38969.44458711228,72,000,72000,0
a7,2022,1,72_0,Mult,7,89750.19303711307,84567.3875275702,94932.99854665593,72,000,72000,0
a7,2022,2,72_0,Mult,7,97072.68464902339,93372.63625360827,100772.73304443852,72,000,72000,0
a7,2027,1,72_0,Mult,7,79098.34119754125,72640.02959685899,85788.39009932648,72,000,72000,0
a7,2027,2,72_0,Mult,7,85247.50568030447,80273.42380342253,90358.28102184916,72,000,72000,0
a7,2032,1,72_0,Mult,7,65485.91199736339,58746.49808616106,72669.2429820894,72,000,72000,0
a7,2032,2,72_0,Mult,7,70469.8391348103,65002.81651728339,76220.11478044547,72,000,72000,0
a7,2037,1,72_0,Mult,7,52043.12091323996,44770.8491900093,60122.342889742344,72,000,72000,0
a7,2037,2,72_0,Mult,7,55716.31362513768,49298.924457038534,62719.170140117836,72,000,72000,0
a7,2042,1,72_0,Mult,7,41009.846768464544,34214.07641521158,48806.751992021666,72,000,72000,0
a7,2042,2,72_0,Mult,7,45003.37018242187,38478.201377559526,52366.67296102738,72,000,72000,0
a7,2047,1,72_0,Mult,7,29798.487891301433,23862.443771377013,36887.68178111453,72,000,72000,0
a7,2047,2,72_0,Mult,7,32238.95993919888,26621.02633963733,38797.86107994585,72,000,72000,0
a8,2022,1,72_0,Mult,8,77511.93895730551,72919.86932021611,82104.00859439492,72,000,72000,0
a8,2022,2,72_0,Mult,8,88466.4538874495,84561.01984038978,92371.88793450921,72,000,72000,0
a8,2027,1,72_0,Mult,8,76522.21935848352,67831.64685530346,85736.37655032195,72,000,72000,0
a8,2027,2,72_0,Mult,8,86010.93886697001,79080.21860893862,93231.1165782129,72,000,72000,0
a8,2032,1,72_0,Mult,8,67440.30749334999,58264.69256327164,77477.65086749024,72,000,72000,0
a8,2032,2,72_0,Mult,8,75533.27721532335,67986.08412019981,83596.05993855557,72,000,72000,0
a8,2037,1,72_0,Mult,8,55834.16762881403,47120.667064086745,65629.41943603789,72,000,72000,0
a8,2037,2,72_0,Mult,8,62439.57347738151,55052.92713832797,70515.96391225049,72,000,72000,0
a8,2042,1,72_0,Mult,8,44372.6634991885,35910.775068919946,54297.998672708076,72,000,72000,0
a8,2042,2,72_0,Mult,8,49367.25982629819,41752.80767118217,58025.40118112637,72,000,72000,0
a8,2047,1,72_0,Mult,8,34965.54585655945,27443.169485641083,44078.60418450405,72,000,72000,0
a8,2047,2,72_0,Mult,8,39875.09087199075,32588.397401048882,48447.66281658503,72,000,72000,0
a9,2022,1,72_0,Mult,9,86469.0089696155,83086.42943375252,89851.58850547849,72,000,72000,0
a9,2022,2,72_0,Mult,9,100397.25481362229,97175.92800448697,103618.58162275761,72,000,72000,0
a9,2027,1,72_0,Mult,9,69016.30620979209,62387.64713882375,75964.86150025066,72,000,72000,0
a9,2027,2,72_0,Mult,9,80330.92853430864,74320.94764161996,86568.48016632897,72,000,72000,0
a9,2032,1,72_0,Mult,9,68135.06401906641,58034.344936500696,79325.62711223299,72,000,72000,0
a9,2032,2,72_0,Mult,9,78101.22684562093,69503.85411406241,87373.72643187613,72,000,72000,0
a9,2037,1,72_0,Mult,9,60048.56768461594,49849.19904788807,71684.42952145297,72,000,72000,0
a9,2037,2,72_0,Mult,9,68587.10875498386,59753.18424249565,78344.00723632396,72,000,72000,0
a9,2042,1,72_0,Mult,9,49714.50929851756,40314.76711554158,60722.123598491744,72,000,72000,0
a9,2042,2,72_0,Mult,9,56697.524251459,48386.19168842243,66085.68862071141,72,000,72000,0
a9,2047,1,72_0,Mult,9,39509.23396576216,30723.982151464545,50237.98495990427,72,000,72000,0
a9,2047,2,72_0,Mult,9,44827.36276607569,36696.67464604522,54379.86495256003,72,000,72000,0
a10,2022,1,72_0,Mult,10,89524.88541717679,87061.50195386235,91988.26888049122,72,000,72000,0
a10,2022,2,72_0,Mult,10,101039.26424847542,98451.4386564148,103627.08984053603,72,000,72000,0
a10,2027,1,72_0,Mult,10,78567.00179786317,73416.24636894814,83886.89708391651,72,000,72000,0
