Var1,YEAR,SEX,COUNTYRACE,TYPE,AGE,A,B,C,STATE,COUNTY,GEOID,RACE
a1,2020,1,72_0,Mult,1,76359.44783820034,72806.10704806213,79996.49717096337,72,000,72000,0
a1,2020,2,72_0,Mult,1,72630.95917422572,69251.12135235597,76090.41820753741,72,000,72000,0
a1,2025,1,72_0,Mult,1,66540.21005166176,57154.6301885595,76678.90626583732,72,000,72000,0
a1,2025,2,72_0,Mult,1,63291.17635773296,54363.87676138374,72934.81904582572,72,000,72000,0
a1,2030,1,72_0,Mult,1,56656.68470166679,45390.705164472165,69355.7467170654,72,000,72000,0
a1,2030,2,72_0,Mult,1,53890.24501896821,43174.36213886317,65969.23564689618,72,000,72000,0
a1,2035,1,72_0,Mult,1,48426.80184496995,36444.530367646694,62529.524664757846,72,000,72000,0
a1,2035,2,72_0,Mult,1,46062.21191113353,34665.01228328895,59476.32521823647,72,000,72000,0
a1,2040,1,72_0,Mult,1,41103.8618231435,28936.364480303775,56212.11936852493,72,000,72000,0
a1,2040,2,72_0,Mult,1,39096.837320060324,27523.456058413944,53467.38697748367,72,000,72000,0
a1,2045,1,72_0,Mult,1,34223.10905017138,22453.986334048317,49717.38209920153,72,000,72000,0
a1,2045,2,72_0,Mult,1,32552.058803580974,21357.600282581112,47289.77555138896,72,000,72000,0
a2,2020,1,72_0,Mult,2,78431.75416041494,76360.55300507638,80502.95531575351,72,000,72000,0
a2,2020,2,72_0,Mult,2,74804.53986862634,72796.05280064151,76813.02693661115,72,000,72000,0
a2,2025,1,72_0,Mult,2,67801.85258483158,62939.56364511681,72907.07041888879,72,000,72000,0
a2,2025,2,72_0,Mult,2,64636.204970971354,59973.68793163851,69532.99955260809,72,000,72000,0
a2,2030,1,72_0,Mult,2,59083.055739823016,49409.144784945674,69883.49010856384,72,000,72000,0
a2,2030,2,72_0,Mult,2,56324.486065221165,47080.85755105772,66649.34770434194,72,000,72000,0
a2,2035,1,72_0,Mult,2,50307.176031803916,39239.44422286027,63209.32151628119,72,000,72000,0
a2,2035,2,72_0,Mult,2,47958.349477752585,37390.37969347825,60284.053377264056,72,000,72000,0
a2,2040,1,72_0,Mult,2,42999.61527753351,31505.63780421144,56988.05096741017,72,000,72000,0
a2,2040,2,72_0,Mult,2,40991.97648433209,30021.010320487156,54350.697396755095,72,000,72000,0
a2,2045,1,72_0,Mult,2,36497.35637043005,25014.964097230255,51230.50496120461,72,000,72000,0
a2,2045,2,72_0,Mult,2,34793.30604287151,23836.19401696989,48859.60522183358,72,000,72000,0
a3,2020,1,72_0,Mult,3,92250.91180891942,90505.7436575981,93996.07996024075,72,000,72000,0
