STATE,NAME,POPULATION,YEAR,AGE,SEX,RACE,COUNTY
72,Puerto Rico,140188,2005,5,2,0,000
72,Puerto Rico,135878,2006,5,2,0,000
72,Puerto Rico,132582,2007,5,2,0,000
72,Puerto Rico,130543,2008,5,2,0,000
72,Puerto Rico,265994,2000,6,0,0,000
72,Puerto Rico,264941,2001,6,0,0,000
72,Puerto Rico,266202,2002,6,0,0,000
72,Puerto Rico,267962,2003,6,0,0,000
72,Puerto Rico,269269,2004,6,0,0,000
72,Puerto Rico,267994,2005,6,0,0,000
72,Puerto Rico,264344,2006,6,0,0,000
72,Puerto Rico,258973,2007,6,0,0,000
72,Puerto Rico,251493,2008,6,0,0,000
72,Puerto Rico,129839,2000,6,1,0,000
72,Puerto Rico,128954,2001,6,1,0,000
72,Puerto Rico,129145,2002,6,1,0,000
72,Puerto Rico,129921,2003,6,1,0,000
72,Puerto Rico,130496,2004,6,1,0,000
72,Puerto Rico,129801,2005,6,1,0,000
72,Puerto Rico,128042,2006,6,1,0,000
72,Puerto Rico,125789,2007,6,1,0,000
72,Puerto Rico,122189,2008,6,1,0,000
72,Puerto Rico,136155,2000,6,2,0,000
72,Puerto Rico,135987,2001,6,2,0,000
72,Puerto Rico,137057,2002,6,2,0,000
72,Puerto Rico,138041,2003,6,2,0,000
72,Puerto Rico,138773,2004,6,2,0,000
72,Puerto Rico,138193,2005,6,2,0,000
72,Puerto Rico,136302,2006,6,2,0,000
72,Puerto Rico,133184,2007,6,2,0,000
72,Puerto Rico,129304,2008,6,2,0,000
72,Puerto Rico,258372,2000,7,0,0,000
72,Puerto Rico,256323,2001,7,0,0,000
72,Puerto Rico,254398,2002,7,0,0,000
72,Puerto Rico,252344,2003,7,0,0,000
72,Puerto Rico,249351,2004,7,0,0,000
72,Puerto Rico,245319,2005,7,0,0,000
72,Puerto Rico,243954,2006,7,0,0,000
72,Puerto Rico,244890,2007,7,0,0,000
72,Puerto Rico,246626,2008,7,0,0,000
72,Puerto Rico,124544,2000,7,1,0,000
72,Puerto Rico,123900,2001,7,1,0,000
72,Puerto Rico,123245,2002,7,1,0,000
72,Puerto Rico,122186,2003,7,1,0,000
72,Puerto Rico,120606,2004,7,1,0,000
72,Puerto Rico,118482,2005,7,1,0,000
72,Puerto Rico,117625,2006,7,1,0,000
72,Puerto Rico,117901,2007,7,1,0,000
72,Puerto Rico,118875,2008,7,1,0,000
72,Puerto Rico,133828,2000,7,2,0,000
72,Puerto Rico,132423,2001,7,2,0,000
72,Puerto Rico,131153,2002,7,2,0,000
72,Puerto Rico,130158,2003,7,2,0,000
72,Puerto Rico,128745,2004,7,2,0,000
